n_chapter,chapter,n_section,section,n_subsection,subsection,text
2,Regular Expressions,2.1,Regular Expressions,2.1.3,A Simple Example,• Increasing precision (minimizing false positives) • Increasing recall (minimizing false negatives)
2,Regular Expressions,2.1,Regular Expressions,2.1.3,A Simple Example,We'll come back to precision and recall with more precise definitions in Chapter 4.
2,Regular Expressions,2.1,Regular Expressions,2.1.4,More Operators,"Figure 2.8 shows some aliases for common ranges, which can be used mainly to save typing. Besides the Kleene * and Kleene + we can also use explicit numbers as counters, by enclosing them in curly brackets. The regular expression /{3}/ means ""exactly 3 occurrences of the previous character or expression"". So /a\.{24}z/ will match a followed by 24 dots followed by z (but not a followed by 23 or 25 dots followed by a z)."
2,Regular Expressions,2.1,Regular Expressions,2.1.4,More Operators,"A range of numbers can also be specified. So /{n,m}/ specifies from n to m occurrences of the previous char or expression, and /{n,}/ means at least n occurrences of the previous expression. REs for counting are summarized in Fig. 2 .9."
2,Regular Expressions,2.1,Regular Expressions,2.1.4,More Operators,"Finally, certain special characters are referred to by special notation based on the backslash (\) (see Fig. 2 .10). The most common of these are the newline character newline \n and the tab character \t. To refer to characters that are special themselves (like ., *, [, and \) , precede them with a backslash, (i.e., /\./, /\*/, /\[/, and /\\/)."
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,"Let’s try out a more significant example of the power of REs. Suppose we want to build an application to help a user buy a computer on the Web. The user might want “any machine with at least 6 GHz and 500 GB of disk space for less than $1000”. To do this kind of retrieval, we first need to be able to look for expressions like 6GHz or 500 GB or Mac or $999.99. In the rest of this section we’ll work out some simple regular expressions for this task."
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,"First, let’s complete our regular expression for prices. Here’s a regular expression for a dollar sign followed by a string of digits:"
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,/$[0-9]+/
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,"Note that the $ character has a different function here than the end-of-line function we discussed earlier. Most regular expression parsers are smart enough to realize that $ here doesn’t mean end-of-line. (As a thought experiment, think about how regex parsers might figure out the function of $ from the context.)"
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,Now we just need to deal with fractions of dollars. We’ll add a decimal point and two digits afterwards: /$[0-9]+\.[0-9][0-9]/
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,This pattern only allows $199.99 but not $199. We need to make the cents
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,optional and to make sure we’re at a word boundary: /(ˆ|\W)$[0-9]+(\.[0-9][0-9])?\b/
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,"One last catch! This pattern allows prices like $199999.99 which would be far too expensive! We need to limit the dollars: /(ˆ|\W)$[0-9]{0,3}(\.[0-9][0-9])?\b/"
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,"How about disk space? We’ll need to allow for optional fractions again (5.5 GB); note the use of ? for making the final s optional, and the of / */ to mean “zero or more spaces” since there might always be extra spaces lying around: /\b[0-9]+(\.[0-9]+)? *(GB|[Gg]igabytes?)\b/"
2,Regular Expressions,2.1,Regular Expressions,2.1.5,A More Complex Example,Modifying this regular expression so that it only matches more than 500 GB is left as an exercise for the reader.
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","An important use of regular expressions is in substitutions. For example, the substitution operator s/regexp1/pattern/ used in Python and in Unix commands like vim or sed allows a string characterized by a regular expression to be replaced by another string: s/colour/color/"
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","It is often useful to be able to refer to a particular subpart of the string matching the first pattern. For example, suppose we wanted to put angle brackets around all integers in a text, for example, changing the 35 boxes to the <35> boxes. We'd like a way to refer to the integer we've found so that we can easily add the brackets. To do this, we put parentheses ( and ) around the first pattern and use the number operator \1 in the second pattern to refer back. Here's how it looks: s/([0-9]+)/<\1>/"
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","The parenthesis and number operators can also specify that a certain string or expression must occur twice in the text. For example, suppose we are looking for the pattern ""the Xer they were, the Xer they will be"", where we want to constrain the two X's to be the same string. We do this by surrounding the first X with the parenthesis operator, and replacing the second X with the number operator \1, as follows: /the (.*)er they were, the \1er they will be/"
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","Here the \1 will be replaced by whatever string matched the first item in parentheses. So this will match the bigger they were, the bigger they will be but not the bigger they were, the faster they will be."
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","This use of parentheses to store a pattern in memory is called a capture group. Every time a capture group is used (i.e., parentheses surround a pattern), the resulting match is stored in a numbered register. If you match two different sets of register parentheses, \\2 means whatever matched the second capture group. Thus /the (.*)er they (.*), the \\1er we \\2/ will match the faster they ran, the faster we ran but not the faster they ran, the faster we ate. Similarly, the third capture group is stored in \\3, the fourth is \\4, and so on."
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","Parentheses thus have a double function in regular expressions; they are used to group terms for specifying the order in which operators should apply, and they are used to capture something in a register. Occasionally we might want to use parentheses for grouping, but don't want to capture the resulting pattern in a register. In that case we use a non-capturing group, which is specified by putting the commands non-capturing group ?: after the open paren, in the form (?: pattern). /(?:some|a few) (people|cats) like some \\1/ will match some cats like some cats but not some cats like some a few."
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","Substitutions and capture groups are very useful in implementing simple chatbots like ELIZA (Weizenbaum, 1966). Recall that ELIZA simulates a Rogerian psychologist by carrying on conversations like the following: User 1 : Men are all alike. ELIZA 1 : IN WHAT WAY User 2 : They're always bugging us about something or other. ELIZA 2 : CAN YOU THINK OF A SPECIFIC EXAMPLE User 3 : Well, my boyfriend made me come here. ELIZA 3 : YOUR BOYFRIEND MADE YOU COME HERE User 4 : He says I'm depressed much of the time. ELIZA 4 : I AM SORRY TO HEAR YOU ARE DEPRESSED"
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","ELIZA works by having a series or cascade of regular expression substitutions each of which matches and changes some part of the input lines. Input lines are 2.2 \u2022 WORDS 11 first uppercased. The first substitutions then change all instances of MY to YOUR, and I'M to YOU ARE, and so on. The next set of substitutions matches and replaces other patterns in the input. Here are some examples:"
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA",s/.* I’M (depressed|sad) .*/I AM SORRY TO HEAR YOU ARE \1/
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA",s/.* I AM (depressed|sad) .*/WHY DO YOU THINK YOU ARE \1/
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA",s/.* all .*/IN WHAT WAY/
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA",s/.* always .*/CAN YOU THINK OF A SPECIFIC EXAMPLE/
2,Regular Expressions,2.1,Regular Expressions,2.1.6,"Substitution, Capture Groups, and ELIZA","Since multiple substitutions can apply to a given input, substitutions are assigned a rank and applied in order. Creating patterns is the topic of Exercise 2.3, and we return to the details of the ELIZA architecture in Chapter 24."
2,Regular Expressions,2.1,Regular Expressions,2.1.7,Lookahead Assertions,"Finally, there will be times when we need to predict the future: look ahead in the text to see if some pattern matches, but not advance the match cursor, so that we can then deal with the pattern if it occurs."
2,Regular Expressions,2.1,Regular Expressions,2.1.7,Lookahead Assertions,"These lookahead assertions make use of the (? syntax that we saw in the previous section for non-capture groups. The operator (?= pattern) is true if pattern occurs, but is zero-width, i.e. the match pointer doesn’t advance. The operator (?! pattern) only returns true if a pattern does not match, but again is zero-width and doesn’t advance the cursor. Negative lookahead is commonly used when we are parsing some complex pattern but want to rule out a special case. For example suppose we want to match, at the beginning of a line, any single word that doesn’t start with “Volcano”. We can use negative lookahead to do this: /ˆ(?!Volcano)[A-Za-z]+/"
2,Regular Expressions,2.2,Words,,,"Before we talk about processing words, we need to decide what counts as a word. Let’s start by looking at one particular corpus (plural corpora), a computer-readable collection of text or speech. For example the Brown corpus is a million-word collection of samples from 500 written English texts from different genres (newspaper, fiction, non-fiction, academic, etc.), assembled at Brown University in 1963-64 (Kučera and Francis, 1967) . How many words are in the following Brown sentence?"
2,Regular Expressions,2.2,Words,,,"He stepped out into the hall, was delighted to encounter a water brother."
2,Regular Expressions,2.2,Words,,,"This sentence has 13 words if we don't count punctuation marks as words, 15 if we count punctuation. Whether we treat period ("".""), comma ("",""), and so on as words depends on the task. Punctuation is critical for finding boundaries of things (commas, periods, colons) and for identifying some aspects of meaning (question marks, exclamation marks, quotation marks). For some tasks, like part-of-speech tagging or parsing or speech synthesis, we sometimes treat punctuation marks as if they were separate words."
2,Regular Expressions,2.2,Words,,,"The Switchboard corpus of American English telephone conversations between strangers was collected in the early 1990s; it contains 2430 conversations averaging 6 minutes each, totaling 240 hours of speech and about 3 million words (Godfrey et al., 1992) . Such corpora of spoken language don't have punctuation but do intro-duce other complications with regard to defining words. Let's look at one utterance from Switchboard; an utterance is the spoken correlate of a sentence: I do uh main-mainly business data processing This utterance has two kinds of disfluencies. The broken-off word main-is disfluency called a fragment. Words like uh and um are called fillers or filled pauses. Should we consider these to be words? Again, it depends on the application. If we are building a speech transcription system, we might want to eventually strip out the disfluencies."
2,Regular Expressions,2.2,Words,,,"But we also sometimes keep disfluencies around. Disfluencies like uh or um are actually helpful in speech recognition in predicting the upcoming word, because they may signal that the speaker is restarting the clause or idea, and so for speech recognition they are treated as regular words. Because people use different disfluencies they can also be a cue to speaker identification. In fact Clark and Fox Tree (2002) showed that uh and um have different meanings. What do you think they are?"
2,Regular Expressions,2.2,Words,,,"Are capitalized tokens like They and uncapitalized tokens like they the same word? These are lumped together in some tasks (speech recognition), while for partof-speech or named-entity tagging, capitalization is a useful feature and is retained."
2,Regular Expressions,2.2,Words,,,"How about inflected forms like cats versus cat? These two words have the same lemma cat but are different wordforms. A lemma is a set of lexical forms having lemma the same stem, the same major part-of-speech, and the same word sense. The wordform is the full inflected or derived form of the word. For morphologically complex wordform languages like Arabic, we often need to deal with lemmatization. For many tasks in English, however, wordforms are sufficient."
2,Regular Expressions,2.2,Words,,,"How many words are there in English? To answer this question we need to distinguish two ways of talking about words. Types are the number of distinct words word type in a corpus; if the set of words in the vocabulary is V , the number of types is the vocabulary size |V |. Tokens are the total number N of running words. If we ignore word token punctuation, the following Brown sentence has 16 tokens and 14 types:"
2,Regular Expressions,2.2,Words,,,"They picnicked by the pool, then lay back on the grass and looked at the stars."
2,Regular Expressions,2.2,Words,,,"When we speak about the number of words in the language, we are generally referring to word types."
2,Regular Expressions,2.2,Words,,,"Tokens = N Types = |V | Shakespeare 884 thousand 31 thousand Brown corpus 1 million 38 thousand Switchboard telephone conversations 2.4 million 20 thousand COCA 440 million 2 million Google n-grams 1 trillion 13 million Figure 2 .11 Rough numbers of types and tokens for some English language corpora. The largest, the Google n-grams corpus, contains 13 million types, but this count only includes types appearing 40 or more times, so the true number would be much larger."
2,Regular Expressions,2.2,Words,,,"Fig. 2 .11 shows the rough numbers of types and tokens computed from some popular English corpora. The larger the corpora we look at, the more word types we find, and in fact this relationship between the number of types |V | and number of tokens N is called Herdan's Law (Herdan, 1960) or Heaps' Law (Heaps, 1978) Herdan's Law Heaps' Law after its discoverers (in linguistics and information retrieval respectively). It is shown in Eq. 2.1, where k and β are positive constants, and 0 < β < 1."
2,Regular Expressions,2.2,Words,,,|V | = kN β (2.1) 2.3 • CORPORA 13
2,Regular Expressions,2.2,Words,,,"The value of β depends on the corpus size and the genre, but at least for the large corpora in Fig. 2 .11, β ranges from .67 to .75. Roughly then we can say that the vocabulary size for a text goes up significantly faster than the square root of its length in words."
2,Regular Expressions,2.2,Words,,,"Another measure of the number of words in the language is the number of lemmas instead of wordform types. Dictionaries can help in giving lemma counts; dictionary entries or boldface forms are a very rough upper bound on the number of lemmas (since some lemmas have multiple boldface forms). The 1989 edition of the Oxford English Dictionary had 615,000 entries."
2,Regular Expressions,2.3,Corpora,,,"Words don't appear out of nowhere. Any particular piece of text that we study is produced by one or more specific speakers or writers, in a specific dialect of a specific language, at a specific time, in a specific place, for a specific function."
2,Regular Expressions,2.3,Corpora,,,"Perhaps the most important dimension of variation is the language. NLP algorithms are most useful when they apply across many languages. The world has 7097 languages at the time of this writing, according to the online Ethnologue catalog (Simons and Fennig, 2018) . It is important to test algorithms on more than one language, and particularly on languages with different properties; by contrast there is an unfortunate current tendency for NLP algorithms to be developed or tested just on English (Bender, 2019) . Even when algorithms are developed beyond English, they tend to be developed for the official languages of large industrialized nations (Chinese, Spanish, Japanese, German etc.), but we don't want to limit tools to just these few languages. Furthermore, most languages also have multiple varieties, often spoken in different regions or by different social groups. Thus, for example, if we're processing text that uses features of African American English (AAE) or AAE African American Vernacular English (AAVE) -the variations of English used by millions of people in African American communities (King 2020) -we must use NLP tools that function with features of those varieties. Twitter posts might use features often used by speakers of African American English, such as constructions like iont (I don't in Mainstream American English (MAE)), or talmbout corresponding MAE to MAE talking about, both examples that influence word segmentation (Blodgett et al. 2016 , Jones 2015 ."
2,Regular Expressions,2.3,Corpora,,,"It's also quite common for speakers or writers to use multiple languages in a single communicative act, a phenomenon called code switching. Code switching (2.2) Por primera vez veo a @username actually being hateful! it was beautiful:)"
2,Regular Expressions,2.3,Corpora,,,"[For the first time I get to see @username actually being hateful! it was beautiful:) ] (2.3) dost tha or ra-hega ... dont wory ... but dherya rakhe [""he was and will remain a friend ... don't worry ..."
2,Regular Expressions,2.3,Corpora,,,"Another dimension of variation is the genre. The text that our algorithms must process might come from newswire, fiction or non-fiction books, scientific articles, Wikipedia, or religious texts. It might come from spoken genres like telephone conversations, business meetings, police body-worn cameras, medical interviews, or transcripts of television shows or movies. It might come from work situations like doctors' notes, legal text, or parliamentary or congressional proceedings."
2,Regular Expressions,2.3,Corpora,,,"Text also reflects the demographic characteristics of the writer (or speaker): their age, gender, race, socioeconomic class can all influence the linguistic properties of the text we are processing."
2,Regular Expressions,2.3,Corpora,,,"And finally, time matters too. Language changes over time, and for some languages we have good corpora of texts from different historical periods."
2,Regular Expressions,2.3,Corpora,,,"Because language is so situated, when developing computational models for language processing from a corpus, it's important to consider who produced the language, in what context, for what purpose. How can a user of a dataset know all these details? The best way is for the corpus creator to build a datasheet (Gebru et al., 2020) or data statement (Bender and Friedman, 2018) for each corpus. A datasheet specifies properties of a dataset like:"
2,Regular Expressions,2.3,Corpora,,,"Motivation: Why was the corpus collected, by whom, and who funded it? Situation: When and in what situation was the text written/spoken? For example, was there a task? Was the language originally spoken conversation, edited text, social media communication, monologue vs. dialogue? Language variety: What language (including dialect/region) was the corpus in? Speaker demographics: What was, e.g., age or gender of the authors of the text? Collection process: How big is the data? If it is a subsample how was it sampled?"
